imdb_id	title	runtime_mins	primary_genre	directors	writers	casts
8863032	Der Geburtstag	80	Drama	nm1390786	nm1390786	nm9493337,nm0074257,nm9963662,nm0117697
8863428	The Ex Next Door	90	Thriller	nm2038876	nm4307223	nm1631505,nm2118666,nm0101880,nm1069577
8865072	Frances	61	Comedy	nm10057654	nm10057654	nm2743989,nm10057640,nm2081972,nm4147261
8865546	Karakomik Filmler: Kaçamak	60	Comedy	nm0948000	nm0948000	nm0948000,nm0019338,nm0880126,nm0947999
8866450	Yuki no Hana	125	Drama	nm2398203	nm0645443	nm5404805,nm5170969,nm2323311,nm1534303
8866460	Eiga no Osomatsusan	108	Animation	nm5143231	nm1040047,nm4653410	nm1459169,nm2594314,nm1101677,nm0409287,nm0997115,nm0436778,nm2272556
8869978	Batla House	146	Action	nm0012541	nm1937760	nm1303433,nm6598222,nm7021807,nm0788903
8870574	Resgate	100	Action	nm2644670	nm2644670	nm10795784,nm9721513,nm10795785,nm4132130
8871254	The Last Faust	107	Drama	nm10061124,nm10061120	nm10061120,nm0324473,nm10245246	nm0000925,nm0359398,nm0226895,nm9756030
8871394	Quand on crie au loup	83	Comedy	nm0077622	nm1388428,nm0077622,nm1383049,nm5101328,nm2425150,nm1761153	nm0432040,nm0077622,nm3757235,nm1577101
8872580	La innocència	92	Drama	nm5783069	nm6038520,nm5783069	nm0971346,nm10061586,nm2284702,nm10541182
8876008	Keep Safe Distance	128	Action	nm2199272	nm2199272	nm0025630,nm8002129,nm0409779,nm2234698
8876200	The Hacker	121	Action	nm10063678,nm10340101,nm6168684	\N	nm5992648,nm10340102,nm8152658,nm5019888
8879902	Fairytale	87	Drama	nm2860666,nm2800483	nm2860666	nm6366508,nm7540602,nm3796525,nm6524304
8881102	Sweethearts	107	Comedy	nm0378932	nm4515963	nm0378932,nm0381342,nm0759714,nm1035643
8883472	Underneath the Same Moon	125	Comedy	nm0913737	nm10094160,nm0913737	nm8918856,nm7350171,nm3075105,nm10094156
8884352	Up The 5	110	Comedy	nm5343096	nm5343096	nm5674898,nm6059558,nm1172638,nm7609057
8885172	April, May en June	117	Drama	nm0465617	nm0396916	nm7699385,nm0596397,nm0001155,nm0388407,nm8505005
8885872	Password	125	Crime	nm10068365	nm10068368	nm7303783,nm10068368,nm10189482,nm10189483,nm9716187,nm8413523,nm5951787
8887784	Adonis Complex	76	Horror	nm4150014	nm8440652,nm4150014	nm4150014,nm7348932,nm3726570,nm6326356
8887904	The Shoplifters	69	Comedy	nm3992303	nm8615051,nm10068880,nm3992303	nm3992303,nm10068880,nm8615051,nm10068889
8888808	A Holiday Boyfriend	105	Comedy	nm1251243	nm1251243	nm1251243,nm0580344,nm3185337,nm1482700
8890058	Angelfish	96	Drama	nm0498016	nm0498016,nm10537811,nm10537812,nm3188869	nm4440308,nm9879021,nm3679834,nm2142321
8890158	Prescription for Love	89	Drama	nm0112647	nm1372462	nm0615050,nm1769806,nm4642013,nm4377242
8890434	Get Lucky	90	Comedy	nm0726261	nm0726261,nm7352504,nm2610491	nm6458090,nm3121121,nm0299811,nm10070412
8890582	Mata Batin 2	116	Horror	nm3151107	nm2544631,nm3151107,nm5322975	nm8801490,nm7346568,nm1221134,nm2714631
8892444	Red Room	116	Drama	nm10071743	nm10422893,nm10071743	nm4912432,nm1669988,nm11237097,nm5669363
8892464	Happy Cleaners	98	Drama	nm3656062,nm4144206	nm3656062,nm10071786,nm4144206	nm4460678,nm7998372,nm8138632,nm4162737
8892632	Black Conflux	100	Drama	nm3425950	nm3425950	nm4940633,nm1222820,nm4574723,nm2854131
8892900	Mucize 2: Ask	129	Drama	nm1749449	nm1749449	nm5545116,nm0476334,nm7686242,nm0654874
8896632	Max Winslow and the House of Secrets	98	Family	nm1235963	nm3413432	nm0000642,nm0614877,nm4120909,nm7535414
8896762	Pilsudski	108	Biography	nm0740853	nm0740853	nm0844371,nm1875226,nm7748052,nm1268200
